trade_id,scenario_id,flow_class,reference_status,policy,notional_quote_micro,upfront_fee_quote_micro,retained_fee_quote_micro,rebate_quote_micro,lp_protection_quote_micro,adverse_selection_proxy_quote_micro,lp_net_after_proxy_quote_micro,settlement_status,rejected_reference_attempts,expired_settlements,reactive_callbacks,modeled_callback_gas_budget
0xae1d18847d2fba079e8748dc3ae9fdd1348e0ca9a1dd64f6eea25e2baf9ec7b8,benign_random_flow,benign,valid,markout,3415000000,27320000,14484722,12835278,4239722,515665,13969057,settled,0,0,2,800000
0x7297d5cac41ca8cefcb56de3df82a45af5ee7562e5edf6f18734b09cbac5c2fa,benign_random_flow,benign,valid,fixed,276000000,828000,828000,0,0,23460,804540,not_required,0,0,0,0
0x7297d5cac41ca8cefcb56de3df82a45af5ee7562e5edf6f18734b09cbac5c2fa,benign_random_flow,benign,valid,volatility,276000000,1092132,1092132,0,0,23460,1068672,not_required,0,0,0,0
0x7297d5cac41ca8cefcb56de3df82a45af5ee7562e5edf6f18734b09cbac5c2fa,benign_random_flow,benign,valid,markout,276000000,2208000,1141536,1066464,313536,23460,1118076,settled,0,0,2,800000
0x09c9b82d3e7730c8aa91551f86248f59f08c43945d331cf359696abd940d8fbf,benign_random_flow,benign,valid,fixed,785000000,2355000,2355000,0,0,515745,1839255,not_required,0,0,0,0
0x09c9b82d3e7730c8aa91551f86248f59f08c43945d331cf359696abd940d8fbf,benign_random_flow,benign,valid,volatility,785000000,2829925,2829925,0,0,515745,2314180,not_required,0,0,0,0
0x09c9b82d3e7730c8aa91551f86248f59f08c43945d331cf359696abd940d8fbf,benign_random_flow,benign,valid,markout,785000000,6280000,3965035,2314965,1610035,515745,3449290,settled,0,0,2,800000
0x26f8da527d49be08cbc2398a73458bd3825ebb382049f4b264a06e62e559395f,benign_random_flow,benign,valid,fixed,2961000000,8883000,8883000,0,0,0,8883000,not_required,0,0,0,0
0x26f8da527d49be08cbc2398a73458bd3825ebb382049f4b264a06e62e559395f,benign_random_flow,benign,valid,volatility,2961000000,10881675,10881675,0,0,0,10881675,not_required,0,0,0,0
0x26f8da527d49be08cbc2398a73458bd3825ebb382049f4b264a06e62e559395f,benign_random_flow,benign,valid,markout,2961000000,23688000,11636730,12051270,2753730,0,11636730,settled,0,0,2,800000
0xeb3ee9d71b91ed9e800427074391647e48578dfb05d44799f6ec2344a6287d11,benign_random_flow,benign,valid,fixed,2755000000,8265000,8265000,0,0,0,8265000,not_required,0,0,0,0
0xeb3ee9d71b91ed9e800427074391647e48578dfb05d44799f6ec2344a6287d11,benign_random_flow,benign,valid,volatility,2755000000,10314720,10314720,0,0,0,10314720,not_required,0,0,0,0
0xeb3ee9d71b91ed9e800427074391647e48578dfb05d44799f6ec2344a6287d11,benign_random_flow,benign,valid,markout,2755000000,22040000,8546010,13493990,281010,0,8546010,settled,0,0,2,800000
0x3ac82ba1636b81c3caccc97d659b2a902bd21486dad1568224f46ca0cf575ffb,benign_random_flow,benign,valid,fixed,2849000000,8547000,8547000,0,0,0,8547000,not_required,0,0,0,0
0x3ac82ba1636b81c3caccc97d659b2a902bd21486dad1568224f46ca0cf575ffb,benign_random_flow,benign,valid,volatility,2849000000,9646714,9646714,0,0,0,9646714,not_required,0,0,0,0
0x3ac82ba1636b81c3caccc97d659b2a902bd21486dad1568224f46ca0cf575ffb,benign_random_flow,benign,valid,markout,2849000000,22792000,10410246,12381754,1863246,0,10410246,settled,0,0,2,800000
0x118865e05ea194a005dd9658d814edd13464e11aec16d837e340119e744d6d38,benign_random_flow,benign,valid,fixed,3815000000,11445000,11445000,0,0,1636635,9808365,not_required,0,0,0,0
0x118865e05ea194a005dd9658d814edd13464e11aec16d837e340119e744d6d38,benign_random_flow,benign,valid,volatility,3815000000,13848450,13848450,0,0,1636635,12211815,not_required,0,0,0,0
0x118865e05ea194a005dd9658d814edd13464e11aec16d837e340119e744d6d38,benign_random_flow,benign,valid,markout,3815000000,30520000,17877090,12642910,6432090,1636635,16240455,settled,0,0,2,800000
0x7c07fafbf30cc3b3ee45f0317808bdf51551d3710a89857164a5de130a2892fe,benign_random_flow,benign,valid,fixed,3506000000,10518000,10518000,0,0,1230606,9287394,not_required,0,0,0,0
0x7c07fafbf30cc3b3ee45f0317808bdf51551d3710a89857164a5de130a2892fe,benign_random_flow,benign,valid,volatility,3506000000,13648858,13648858,0,0,1230606,12418252,not_required,0,0,0,0
0x7c07fafbf30cc3b3ee45f0317808bdf51551d3710a89857164a5de130a2892fe,benign_random_flow,benign,valid,markout,3506000000,28048000,15992619,12055381,5474619,1230606,14762013,settled,0,0,2,800000
0x51c0874792ae57f60114b7045d0b7e367e24f7c1e3c852c1de13659908c5aa21,benign_random_flow,benign,valid,fixed,3059000000,9177000,9177000,0,0,0,9177000,not_required,0,0,0,0
0x51c0874792ae57f60114b7045d0b7e367e24f7c1e3c852c1de13659908c5aa21,benign_random_flow,benign,valid,volatility,3059000000,10654497,10654497,0,0,0,10654497,not_required,0,0,0,0
0x51c0874792ae57f60114b7045d0b7e367e24f7c1e3c852c1de13659908c5aa21,benign_random_flow,benign,valid,markout,3059000000,24472000,10712618,13759382,1535618,0,10712618,settled,0,0,2,800000
0x8dba4156c0f088a2e7c36736150c0629148f64d72eb7e74a8a6d2de039391a43,benign_random_flow,benign,valid,fixed,600000000,1800000,1800000,0,0,133800,1666200,not_required,0,0,0,0
0x8dba4156c0f088a2e7c36736150c0629148f64d72eb7e74a8a6d2de039391a43,benign_random_flow,benign,valid,volatility,600000000,2147400,2147400,0,0,133800,2013600,not_required,0,0,0,0
0x8dba4156c0f088a2e7c36736150c0629148f64d72eb7e74a8a6d2de039391a43,benign_random_flow,benign,valid,markout,600000000,4800000,2613900,2186100,813900,133800,2480100,settled,0,0,2,800000
0x0e75d06a3f6913346ef91556372221c9db3258ace72c685604625202428d26ef,benign_random_flow,benign,valid,fixed,4563000000,13689000,13689000,0,0,0,13689000,not_required,0,0,0,0
0x0e75d06a3f6913346ef91556372221c9db3258ace72c685604625202428d26ef,benign_random_flow,benign,valid,volatility,4563000000,17740944,17740944,0,0,0,17740944,not_required,0,0,0,0
0x0e75d06a3f6913346ef91556372221c9db3258ace72c685604625202428d26ef,benign_random_flow,benign,valid,markout,4563000000,36504000,13689000,22815000,0,0,13689000,settled,0,0,2,800000
0x924b2e4273def7f17a814c9c49fe72a31ef26586c4c1239c0a56ed3fbebece01,benign_random_flow,benign,valid,fixed,1349000000,4047000,4047000,0,0,318364,3728636,not_required,0,0,0,0
0x924b2e4273def7f17a814c9c49fe72a31ef26586c4c1239c0a56ed3fbebece01,benign_random_flow,benign,valid,volatility,1349000000,5077636,5077636,0,0,318364,4759272,not_required,0,0,0,0
0x924b2e4273def7f17a814c9c49fe72a31ef26586c4c1239c0a56ed3fbebece01,benign_random_flow,benign,valid,markout,1349000000,10792000,5905247,4886753,1858247,318364,5586883,settled,0,0,2,800000
0x2669c0cb66dd80ed0235008f1aa472d7fa77469ddbb7a9632bc90e6d6f9dbae5,benign_random_flow,benign,valid,fixed,3012000000,9036000,9036000,0,0,1325280,7710720,not_required,0,0,0,0
0x2669c0cb66dd80ed0235008f1aa472d7fa77469ddbb7a9632bc90e6d6f9dbae5,benign_random_flow,benign,valid,volatility,3012000000,11963664,11963664,0,0,1325280,10638384,not_required,0,0,0,0
0x2669c0cb66dd80ed0235008f1aa472d7fa77469ddbb7a9632bc90e6d6f9dbae5,benign_random_flow,benign,valid,markout,3012000000,24096000,14168448,9927552,5132448,1325280,12843168,settled,0,0,2,800000
0x0d3b4e7ec18998201d0eee45b54d4a6a0443aaa248b517f377be0bdbca56d5a3,benign_random_flow,benign,valid,fixed,3710000000,11130000,11130000,0,0,2170350,8959650,not_required,0,0,0,0
0x0d3b4e7ec18998201d0eee45b54d4a6a0443aaa248b517f377be0bdbca56d5a3,benign_random_flow,benign,valid,volatility,3710000000,14591430,14591430,0,0,2170350,12421080,not_required,0,0,0,0
0x0d3b4e7ec18998201d0eee45b54d4a6a0443aaa248b517f377be0bdbca56d5a3,benign_random_flow,benign,valid,markout,3710000000,29680000,18312560,11367440,7182560,2170350,16142210,settled,0,0,2,800000
0x1c2fb5085e30c31bc7bde25134f4e7ce454fc56816b74b188176856162508cdd,benign_random_flow,benign,valid,fixed,462000000,1386000,1386000,0,0,95172,1290828,not_required,0,0,0,0
0x1c2fb5085e30c31bc7bde25134f4e7ce454fc56816b74b188176856162508cdd,benign_random_flow,benign,valid,volatility,462000000,1689996,1689996,0,0,95172,1594824,not_required,0,0,0,0
0x1c2fb5085e30c31bc7bde25134f4e7ce454fc56816b74b188176856162508cdd,benign_random_flow,benign,valid,markout,462000000,3696000,2000229,1695771,614229,95172,1905057,settled,0,0,2,800000
0xbcb4ec98269628dc7956fafbbd855be12071dfa5d4a8aaa2976adf9dd5955996,benign_random_flow,benign,valid,fixed,1562000000,4686000,4686000,0,0,0,4686000,not_required,0,0,0,0
0xbcb4ec98269628dc7956fafbbd855be12071dfa5d4a8aaa2976adf9dd5955996,benign_random_flow,benign,valid,volatility,1562000000,5760656,5760656,0,0,0,5760656,not_required,0,0,0,0
0xbcb4ec98269628dc7956fafbbd855be12071dfa5d4a8aaa2976adf9dd5955996,benign_random_flow,benign,valid,markout,1562000000,12496000,4686000,7810000,0,0,4686000,settled,0,0,2,800000
0xbf7d20b241c3cfc7fda58fe5fae94d54ee10e10ed035822d427643f80a77cbf7,benign_random_flow,benign,valid,fixed,4135000000,12405000,12405000,0,0,0,12405000,not_required,0,0,0,0
0xbf7d20b241c3cfc7fda58fe5fae94d54ee10e10ed035822d427643f80a77cbf7,benign_random_flow,benign,valid,volatility,4135000000,13968030,13968030,0,0,0,13968030,not_required,0,0,0,0
