block_number,block_hash,transaction_hash,transaction_index,log_index,timestamp,amount0_raw,amount1_raw,sqrt_price_x96,liquidity,tick
20000268,0x239b5f68c4441100d11524f9055f168e36c5d2df6b80ea7688623f5bb814474d,0xad24a10e816aa3aa50e6af9b0afc36fee2c01fd1176acc7b086b0700726ad2d2,222,642,1717284635,-2281643126,598838726980960901,1283224312303959903962040006275730,15562825522177455047,193860
20000273,0xe0b4e80a64a6ce257445b8419428a332d01d3b5b99e92cdd82a47a7da658dbd1,0xf6d70955c250fe15b7f02dd958767d0e8ddfab813706c69fd1bba4932104ed86,4,24,1717284695,-3873796134,1016720791925703077,1283229485698955531282050969792121,15562825522177455047,193860
20000275,0x7efc2c1592977659bc098857cf8abb961d80b3075b9081c5623029d68739b029,0xec45435d0b65a8dee079081068f2e45c60cc0d6e34f7608b4f8226ac81b59bbd,101,260,1717284719,798863600,-209461670780897766,1283228419358960297794735402314209,15562825522177455047,193860
20000276,0x902c15e6390a3a10cee3b6067608d1574ebdebe53caea3c17ca54b84f9a52fa0,0xe54b287fc70e21532b1917471caf7a90be919c1414208aca890871cafa11355c,103,280,1717284731,2794458147,-732702910120562200,1283224689271184464128521006627202,15562825522177455047,193860
20000279,0x9b2f71bebd20bc31b0e5ed5f6b098ade48b369010c9da36723e6c61d0c34b763,0x911ff122350460d7898062adeb6bb3cab00b76539db13a0d5b83dd166803d2bb,80,262,1717284767,-1546563342,405911970233203628,1283226754678887489773707767193201,15562825522177455047,193860
20000280,0xe7640b0110cd2182d38f0f62608d0d152d32dfba41634a1474623e1466e28fe7,0xf3b53921138382915ae039b2bc29d33eb8ce9888a3a58b81976ae40dee2bc878,170,464,1717284779,155493458,-40770167301911603,1283226547123682547936361698378953,15562825522177455047,193860
20000292,0x05b4c68bc61a4885d7c864ad72633f7f139a28e1c9334dd8053de5ac43ec2991,0x68c9ddbaa84ad37e7300f7949bf4111a7b98005f79bbbb25c5facc7f17c87289,5,56,1717284923,-12471720270,3273382088048399897,1283243196788342858677342122455002,15568744554781989516,193861
20000295,0x27cfc824e2a11cf1b2a842bcd0b8ac656f821c67810f37e26adc7e465777ae3e,0x884d4d412c0e771da65ec379b16c014aab9123dfc75b2888b64058fb80aef820,55,115,1717284959,4958007197,-1300009379704900068,1283236581139017833826087201411871,15568744554781989516,193860
20000299,0x903fba9dcf17968954a47a65627a1218609eb27147cc24e6330e8f527c0f39ed,0x89e27e9dace98e7ebc58587542e981e7a8034cfd2ebd0bd25784637724b3eb93,77,94,1717285007,1518349927,-398114761841770458,1283234555163131368450359483051504,15568744554781989516,193860
20000299,0x903fba9dcf17968954a47a65627a1218609eb27147cc24e6330e8f527c0f39ed,0xd57253703fdd7e2a9fcb2b55e9ab969f773bee7a472a8ddd7d55770fd6e2f5a2,98,199,1717285007,1450343288,-380282094343999177,1283232619936339899453224323258433,15568744554781989516,193860
20000299,0x903fba9dcf17968954a47a65627a1218609eb27147cc24e6330e8f527c0f39ed,0xcfea5385a803c54ae37b7170a8a06658ae8cdf1f5b849dd693f60ae01889de6f,120,287,1717285007,-983490741,258130626938646697,1283233932886756771379049937809832,15568744554781989516,193860
20000301,0x0b6f8b646de3b67d8f9dba35f0a19f005d55799d9c5c793c93c59a0ad5a13d18,0xce3bae00a20bf983cb462e57addef122bd3b4a21300c6d6ccfd607a4e48d3bee,84,84,1717285031,473575000,-124172051142162758,1283233300984588102354024538824481,15568744554781989516,193860
20000307,0x11ac5c10931421c3f62191c342a6dc125a66d3831ea71cd30ad16a523c834598,0x460fe3a4ca7fe05e09806cee526195e0cb69ad8703b2d43d44c7ea79eb1f4e41,84,74,1717285103,160000000,-41952204223231283,1283233087492996514202478351300620,15568744554781989516,193860
20000307,0x11ac5c10931421c3f62191c342a6dc125a66d3831ea71cd30ad16a523c834598,0xb2297ff4f71e6babd1d2c01324baecd6b307af22cfe4c9ce5ca2e2fbe54e171d,98,143,1717285103,-840132762,220504487954311915,1283234209062578610155681864187768,15568744554781989516,193860
20000308,0x76c60cfca662bc4c4932462ccddef1fe061e996088f29186ff2bbeb4124b2b81,0x0ff5ca238de524902470ced32f4e0fcf74e0df54efd1f78fc99abd0df58a30e3,24,163,1717285115,161557211,-42360566715673049,1283233993492861210249538780905670,15568744554781989516,193860
20000311,0xbe0fcb955d352076fb571743cfb3186973f8ad4f22fdc116bec426442c6648e1,0x5af0e83d4cdc7ec40d600ef0527b03498112958a8444b219c4d780a15eab6d4c,3,21,1717285151,-3048027382,800000000000000000,1283238062596732976669669651105683,15568744554781989516,193860
20000311,0xbe0fcb955d352076fb571743cfb3186973f8ad4f22fdc116bec426442c6648e1,0x2f5251c1e0a4ca5a43d5ba397b45a87b7e41eba22aa042abccdaa448de6fb4bd,22,105,1717285151,7130450850,-1869613637984222774,1283228548274455551828428037361431,15568744554781989516,193860
20000312,0xb6c7409bb0f7002a23c0abd9c058cae3088e29f4a20b47298048948b1acadc2d,0x67577adb0f84e6362a62efdf11713b1eefedbb322af8bffb8f766f3c5d6f5b2a,16,119,1717285163,1596658612,-418642199328371197,1283226417835993605999704882481240,15568744554781989516,193860
20000313,0xaaae4bc59187d152a49964be5c2005767c3fdfd7137eb996d33a1073b7a2ba92,0xf98cdeb184174de0bc51357325bb957a8016ff8a8eb8c0f2be11facddb11e59a,21,151,1717285175,67657461758,-17738437446780067605,1283136128673026898867455327677673,15560674728007489358,193859
20000314,0x4e71fe064fcfaa5d4403cb295ef0e9812b0aca52bcb94fba1b8bcca446c4acb2,0xe4498e165f9139f9334fd4d41e8ea3bd52028eb23a3010838508a63ba87fd0f8,119,241,1717285187,-1603318852,420750000000000000,1283138269877205739392180793550323,15560674728007489358,193859
20000315,0x04e06bd7fc7139506caf364c9a5573e2e0ac9d42f932f4fceccfdb64302cf1f3,0xbcda7e56367a176d4c0d76f37d67986cd98d0a89e47db659ca41ac26f4e00afc,44,269,1717285199,44000000,-11535148869258452,1283138211145263505877914922446187,15560674728007489358,193859
20000315,0x04e06bd7fc7139506caf364c9a5573e2e0ac9d42f932f4fceccfdb64302cf1f3,0xcd12730589281d5fdcc617fbff774829f5e2e1cc31cc963d0ce3a916bc81b525,58,317,1717285199,-1905303795,500000000000000000,1283140755654091599193096700072628,15560674728007489358,193859
20000316,0xfd5daee8ea0bcf714a330f865c5125a30bcfeb23f24c33f50665db1390edea4e,0xbbe53787efe4220b87d22b4605faf3ad1b333a6c314ef7883b4fc1a9699474da,98,267,1717285211,215315764,-56447922061368101,1283140468189580559777358888854485,15557625275202697461,193859
20000326,0x9a6a00f5dbd1481583dd1431df41e116fc78d44bab75fabd04bcc09b7b28c03f,0xa5ade5298e71f5d1a30d5a2e5b12e91bf4cfb4155fb5ac4ffaeb95fcccba4f32,13,62,1717285331,-6019339583,1579639571291137773,1283148508578938520659042204907730,15557625275202697461,193859
20000326,0x9a6a00f5dbd1481583dd1431df41e116fc78d44bab75fabd04bcc09b7b28c03f,0xc50af5db2258c8f4e9f1dba635b63ddcffb1301eb6ea5987293ac5d310004c5c,146,281,1717285331,614607000,-161129367455435768,1283147688017735589027525280810729,15557625275202697461,193859
20000327,0x456ade5ef1d64f7cef5d4a0ce6cd607dcf724059bf32b912cde5b6eb7f099a37,0x8eb120e6f26f9e31d9640aeee36946a9ff20ba839f978878f0678a29bbec1c89,36,110,1717285343,-2400646082,630000000000000000,1283150894727283498777365560657565,15557625275202697461,193859
20000329,0x9937879a07a89e37ff5b6ffbc5513588dc16d96e18a49470a4354b953a9c7b6c,0xd6e3007d49789282b60b1903601ddb38003c75fa97f6c082a0a6e758e3f26168,18,100,1717285367,770227107,-201928464951802074,1283149866394170028227810694680822,15557625275202697461,193859
20000330,0x2146b6be344ead41572d6f442ebacf0db117b10d112260939ec1b6805f61bb37,0xf087491347c36f0749c7e4db12400fc172a83a49fc730f51063f829fea582168,13,107,1717285379,-14942664076,3921458191630677573,1283169826675796744093261858205243,15557625275202697461,193859
20000334,0x48ebe1fd29de1e0d9e430de92d914f7c61687f0c16f4fa0f2c5d13281009a489,0xd49e78ffcfcc7dc6bdc5e7a547bf00c90ea31fbac5c963279a546403d6052d25,39,171,1717285427,-10530000,2763469575326747,1283169840741898764027196960653748,15557625275202697461,193859
20000339,0xebb2ec99d5f1cfb72abbd12d980fb1e70b9cae1d9a57ac777ee954dcdf35d966,0x0f0ebfbfe6d0603d3d2414c35423f609c96f51b4e2ded58b5201a8626dd7343e,29,266,1717285487,4120085441,-1080180364888128313,1283164339857028469517142350128584,15557625275202697461,193859
20000339,0xebb2ec99d5f1cfb72abbd12d980fb1e70b9cae1d9a57ac777ee954dcdf35d966,0xc9160e05869524b76849c75a09ee5d7c27455e9dea3dbc98b808b77048b3dddd,33,284,1717285487,1038041016,-272146177825491715,1283162953935898285140942905611618,15557625275202697461,193859
20000340,0xe916a64a281f6a3a5398e05fe759dd62b2f2948ef78ef58bc59fbab24db62cb7,0xac55a26d466ce92a7b22bc9c498fb629859f04bae63fa07e6ae2e552d3a3b0dd,130,368,1717285499,-89990000,23616522670462961,1283163074144356595935605702121148,15557625275202697461,193859
20000342,0x29a22ef46f7c8b708dfc944e18bc5761d3b7bbb61286c03587e2056fc7d495df,0x7397b19f9df6df5ad6a9743fad3eaee0eeaeaa5f5009f03374d5b26a4c68a7cc,28,192,1717285523,-53346541,14000000000000000,1283163145404568771707824375006633,15557625275202697461,193859
20000342,0x29a22ef46f7c8b708dfc944e18bc5761d3b7bbb61286c03587e2056fc7d495df,0x8b1789bcd3ae2e15e77e8a8ddeca83fa25752cc9974566f9b8955f17652b4a04,104,389,1717285523,1000000000,-262172378422132753,1283161810275624800577532855683175,15557625275202697461,193859
20000342,0x29a22ef46f7c8b708dfc944e18bc5761d3b7bbb61286c03587e2056fc7d495df,0x56f319029735fd5a76dd0ab61ec0a33fec1a1e89bd8ff4fbb80c836bbf4fd5e0,191,619,1717285523,314042570,-82333174744266642,1283161390988874183742577297356293,15557625275202697461,193859
20000343,0x9a2ed354f663a0f9c71df69c4e67174d30908bafb47ed04692ea14ce7dd408eb,0x307f26d36571c5b5710f9274b39df5641732f45c59999e651f5de61e6bfea267,127,292,1717285535,567959119,-148902852718770731,1283160632691948698331050909335893,15557625275202697461,193859
20000347,0xea2d1ebf579c79195b704a3d580c876d06b1f90888d37be1c84ab8ff0488aa2b,0x8397d5f8a1f6abccb9187e84d2b18b1282c33c0bf68becbd43986976fc500a3f,81,343,1717285583,-1089401286,285896253494218629,1283162087908211859500977522401488,15557625275202697461,193859
20000347,0xea2d1ebf579c79195b704a3d580c876d06b1f90888d37be1c84ab8ff0488aa2b,0x0969f622bcc8d03ecbcf328506fe243158b71118df92b03a8b4bd517eaada910,150,407,1717285583,-296605132,77839469852938200,1283162484112293100215349458419815,15557625275202697461,193859
20000353,0x65ab7e145e5b61a80069eb9164e9cbdc4f0319fb6bca6709ca0b5b51581d593e,0xfed3963d4db88809c5e158bc284135b782add155627eff362b34f3b5a97d5df9,161,362,1717285655,3120188698,-818024644147242967,1283158318271536511699683587189872,15557625275202697461,193859
20000361,0xa56e390a4c47d343a005ed0561616ddfecde25685cafd1eaa117d545a47520d6,0xbe39965e21c570657e54967b70f871b15f2705f127740321a0242f6ab3233ba7,124,255,1717285751,220282627,-57751632405252190,1283158024167800451135576660998502,15557625275202697461,193859
20000362,0x11ae9ea59c47a65ea1eb6e0e128e0d3118ba6457ef93862596a5f5aacc1fae94,0xa671c4bf9084fd0c35de57ad6d644b42d24203a313fb875e79285f21300816e2,77,248,1717285763,-1007718396,264458764733447556,1283159370266920925999872396920716,15557625275202697461,193859
20000363,0x68ac6ce456c701d85a17fa8d37065e90bdc011748925a63ca9bcba4fd4149a6c,0xb5a00e71487c4f6f35a6dfa77e355d421c3ce554560db471cd1525b6a5a3fb9d,25,113,1717285775,-39296502092,10312724257084565881,1283160191666089485838360253851316,994217787851214396692,193859
20000364,0x2278bcbeea1a75ac00ceae165234a530300a62ffa437c1acac7d12df12e4d61c,0xae08ee36e2222029042488b7397bba5cccd1ea987f50738427f2e99b3c54d81f,19,110,1717285787,358325257,-93942615002995652,1283159713257551112340702690558126,15557625275202697461,193859
20000365,0x4cc019a910fcf0fac0e7979773c861a358ef72c386cb2ee4d8bbc663cd8fd0d0,0x27839aad1a0e2236f8c146d7a63f44665be9dfc0dd7b8ca73522d25ce5ad9cb8,29,111,1717285799,4119593717,-1080034399479472596,1283154213116018628959762678208342,15557625275202697461,193859
20000365,0x4cc019a910fcf0fac0e7979773c861a358ef72c386cb2ee4d8bbc663cd8fd0d0,0x72737eb2151f63e199d794cb416639096e26aa5330fc5ddd099911dc4928136f,40,160,1717285799,1411753265,-370117399628797827,1283152328270422438492315139762200,15557625275202697461,193859
20000365,0x4cc019a910fcf0fac0e7979773c861a358ef72c386cb2ee4d8bbc663cd8fd0d0,0x87ae767ba18f1391d4a3e9b75c071c4be53e59c57a659425acce1225e712e0d5,44,171,1717285799,-384746710,100969349069908058,1283152842205939436439277163676606,15557625275202697461,193859
20000367,0x3dd2f4084dfdc946632b55f434cf89346e5ec3ae2d93d88f9a9905d8914ea16e,0xa988ea010ec30b84edabf66c35c1d9fe3729f15f8fd7497aac4ca70b146f9c88,165,340,1717285823,4137462851,-1084707515459934719,1283147318266276724392379360152781,15557625275202697461,193859
20000369,0x64fafc0f49163e64bbb13023ed0ece13cacb16dfdbd9aebb68bbbc1f5f72fa17,0xa26369d7a0f4e4d7843d8c1d096541d32216d290511a156b48e207bdfd61a01f,108,310,1717285847,-457267109,120000000000000000,1283147929068095373868539413456940,15557625275202697461,193859
20000370,0x9bc9f4520af12b06c8ef5851c1d2061d46cb24b485bd681a1eda44c3e6c18d9f,0xaab845beea4650c4d6829eba24b68dd3047f04640061f8b969e46d2b20e09841,110,269,1717285859,-57158358,15000000000000000,1283148005418322705053059420119959,15557625275202697461,193859
20000371,0xd69ccb0aed9bab14e41f6f1230c1f133beb7766663707b496329053b8c99e2d6,0x246ab7eb2a4c187e81e7b3381c9dace255f40153220ca22deb072d3f7b65ec7e,87,225,1717285871,-410705121,107780909588111137,1283148554024785972661765155895030,15557625275202697461,193859
20000373,0xdeef951da7a3b6b71b27a69f550d31912cff7e8d5097fa229f036654e4eeddf4,0x4f736b52ba10766040780fb943952ce7b9e2fa5e741ce65c3fb8fdeef663c35e,96,217,1717285895,618973528,-162274135655806278,1283147727633780650515028064376734,15557625275202697461,193859
20000380,0x2b0f18ae975fd98d8f9d8a199ef339c038a035757cfb802559d49a7ac1e78c78,0x3e33ee3b151998835a398a887af50069d8e26f794e08fd2cbf3b41d88a4b7e3f,92,246,1717285979,5000000000,-1310824935571028618,1283141052177264243422367649317797,15557625275202697461,193859
20000381,0x5122e1b9b9c9befd32c368867bd4b24ab9c6f74bb44bb1bfd973b8595b329d44,0x7c024a8d7b390d2109ac1ed0e0ca0a9850a464f99e72cdda6ad54a905b8b89cd,73,114,1717285991,-5519614486,1448498583798963599,1283148425057008373402456906784825,15557625275202697461,193859
20000383,0xaa47b19d6de81f6be255b07ff68caa303cb9864738f958b436f32fc5a5be046e,0x88a3dd695239457aecc051c572d27edcec979254090d4a500986b0d5c2113869,105,168,1717286015,-4009372481,1052180000000000000,1283153780669154595117674280831244,15557625275202697461,193859
20000384,0x50b9d199818cc6871229d67f2a04177ff36f16b9c0062a2db069768decb5d102,0x0356ea2e48cd14197c1a0c65c098b4c1dde24a47a63bb6aca53d025eefe5b647,49,212,1717286027,3936079527,-1031913116387723707,1283148525588212641889377473036539,15557625275202697461,193859
20000386,0x70a49b081b3d31ffb8d7bc3d029e377df1c911c9beadee96356cc307c7107fe7,0x06b3c49b3d622d05616c8669a1c539e9f27185f0657bfcd2014f30d7fe2be406,158,419,1717286051,-5363994,1407667911628519,1283148532753263645866119499680515,15557625275202697461,193859
20000387,0xb77f89b997f325ba5e56265105cbcaacc9defca6215f4df730da73147eeeac67,0xc883ebe7032fe87e73d64c8aac80f73d96a2d3d1f02ef58b2f132f605cb5b371,47,226,1717286063,-2005000000,526171330338042261,1283151210973309409953637284249919,15557625275202697461,193859
20000392,0x78a74fe6587a93e98f210b47663f69381751a3629cfceeb7aa614df7bf89ed34,0x2cb255f6ceaef5a1c3ce5422a6a745c7797512d0a240ffebdb5d3c718062ffd4,7,68,1717286123,222020025,-58206482123277812,1283150914553223216137477361334243,15557625275202697461,193859
20000393,0x6584acea02a24763f5b940f4af2465e9bed24cace617e8a2719ccb2fc33468ed,0x1234c0814a85da257d8a52b61f2fc80e0990d344f6037df3ac3f066bd1d52a86,37,146,1717286135,-537077616,140945367161851576,1283151631967278155113298852941238,15557625275202697461,193859
20000394,0xe3453bbcbb6422be837f653b467161f4b20d7127b61c979da41bad89d878a495,0x218564afd37bfe5233431073d61331cf9b5153b549f4c735bfd1dd9aee6e41c2,172,384,1717286147,-898780043,235867347040721176,1283152832535649259276906503686190,15557625275202697461,193859
20000403,0xd7ef92c01f79d89defb8e15c732ad192ad68f484c499977318220dd488b703fa,0x2f0caa0bad9f57402f74b65cbdab8cf1e5f08d53dc53efd9286b7b04f7e571d0,23,65,1717286255,5324151418,-1395816723245555156,1283145724253232553110192009104792,15557625275202697461,193859
20000404,0x94e824067061d7da1e5fb99105a9db27d28e5ca207b990bc59a48c17c0f9ea28,0x0587ce3cbe080f2265c007a39d703d9913c1818dbaf74b7d837af38ee33566e6,116,284,1717286267,1008442853,-264378679865862242,1283144377888562933164357082959439,15557625275202697461,193859
20000405,0x11116666c9bee73a21b748fe35dec56e702ff437ed1540be90299179aa6d6b75,0xa5ccd525dc7b10b988518b33de9cca10442bd7cb35ffa7442d0ce0800e5750e9,85,248,1717286279,-1162148859,304980007434295608,1283145930241422871485331395399153,15557625275202697461,193859
20000406,0xf496b5ebc1e895b481d1c049afff61c29ad4f9aec8490323af0492c5aea70654,0xa59ae1fa8cf14d5b84da3d60a94f7991f1a4fbb5c7dc0ca4c2f42e6c20a291ab,1,11,1717286291,178255899601,-46732435153957700379,1283142287570885038573428402327852,1016431469332874933567,193859
20000408,0xbdcede1e6f8c9831b768fbadfa48736689bacd6902316d67e2b1efa6cb693606,0x3c61f4086abe51899f7888e1e7031ae69c6f0f8ca682bd3d4c7e8be4c9861549,8,62,1717286315,16531902701,-4333997306557756817,1283120216423337369663018302841224,15557625275202697461,193859
20000411,0xcf29eac9541b17678095255ea9b3e87b7a647f2f2390aea79f579e6fdd2d4ecd,0x1414a8a1b676f051e84c26ad1eeda42ef8a673e03b1bd64d41cf520771fa27a0,68,227,1717286351,-25000000,6560436697746480,1283120249816059587315626008942950,15557625275202697461,193859
20000414,0x63a6d0b96cca5fb6ad3ed39a08f054b4357c39e02a69b68097ddcbc892904309,0xde7e99bdadaea4e1935498d1f50f296599233b8849933bb0b11b810c3015b9d5,73,281,1717286387,300000000,-78646512311970211,1283119849303863901224056310932453,15557625275202697461,193859
20000419,0x68a514ab036caedede7e22a4ee380699455d399ebdb3d3bc42b3183ea22c1828,0xc3036a400abcc7debdeedac5401ce4ca227f2fc0a073f83847efa03077498d9b,1,17,1717286447,45000000000,-11796420845598202098,1283059775305981243451398543876897,15557625275202697461,193858
20000419,0x68a514ab036caedede7e22a4ee380699455d399ebdb3d3bc42b3183ea22c1828,0x3e3a344770338899eeff4a03e0c2302ef7c5ccd00224fb7fc9dbcaab40fe18f6,85,210,1717286447,-314032976,82400000000000000,1283060194723230049425028447145753,15557625275202697461,193858
