trade_id,trade_index,flow_class,direction,notional_quote_micro,execution_price_x18,reference_price_x18,markout_centibps,trailing_volatility_centibps
0xc7fe208a32f6d6e3a723da1ca9eddb63292153fedfa8416d1fc8181ca62a5c5c,195,benign,buy_base,1000000000,3812023942559356685797,3811936912373396082267,-23,549
0x97d0d1b651ce9ed5a8ec187c3c98e2d514f96f8770c7fbf7082cd7b9e811c89d,196,benign,buy_base,500000000,3812027907824868415355,3811936912373396082267,-24,548
0x287fd0e3302f9ef9924346c46f1e975b35c967349b9899daf7b238b20965dd19,197,benign,sell_base,2281643126,3812009804148207292869,3811936912373396082267,19,553
0x26e20d613f49dd574b7aca39f1dd4b2d5105f8df582f9a83061449d458001eda,198,benign,sell_base,3873796134,3811979067646419033811,3811948948985612592783,8,283
0xd2f3d979cb1597a80d27a2fe67420ccfc928c1fe0727f4b9d505c323725a788a,199,benign,buy_base,798863600,3811985403022675383277,3811956400268107340690,-8,299
0xba435c8c57a083fd250dfbe0f101b6e4b8be4ffd1ac5467c2852592d2837738b,200,benign,buy_base,2794458147,3812007564474116216761,3811956400268107340690,-13,293
0x042db8aa847627fdfdbc90f762eb6057e817a3e95399e7b8279b8e3bc521ded1,201,benign,sell_base,1546563342,3811995293309378255172,3811957668659196360241,10,3
0x7a6d5e532885aa3173dc73b3960b5e82a4c21759aeefbb5fae7a5e616c7c865b,202,benign,buy_base,155493458,3811996526450213908539,3811957668659196360241,-10,5
0x38ca3892f0075df802c3c027daa61684ee5b6154b5cb53a10a5d1cb1ba24ac5c,203,benign,sell_base,12471720270,3811897608252526775010,3812460216671036990797,-148,31
0xfe6f5c1252b4b204b57b7fe4498c0316cca90e220ee8427132b45578e850b4ee,204,benign,buy_base,4958007197,3811936912373396082267,3812460216671036990797,137,19
0x7f92116639784f557329efbf69e2ef1d53c06c96ca780847eabfd5737daf869c,205,benign,buy_base,1518349927,3811948948985612592783,3812460216671036990797,134,8
0x2eae02377f90ac7f0bccfafa5460d17a41da8796cda637decd4f3ab90549f452,206,benign,buy_base,1450343288,3811960446497726529201,3812460216671036990797,131,5
0x8e090e2be69cb14ec68b5c9a9ee4eb4cc525f8d5f2a2955d58555b09106b3d3d,207,benign,sell_base,983490741,3811952646029910561650,3812460216671036990797,-133,7
0x1b8111562d63c04b46f233075887f8987f850d8f85ebbc2de4dae4bf0418461c,208,benign,buy_base,473575000,3811956400268107340690,3812460216671036990797,132,13
0xcff43775205dbadcc63b20d25a7bcde510f9a94dbe912f161992734103caac91,209,benign,buy_base,160000000,3811957668659196360241,3812333456605429095369,99,10
0xa357b5a40d15816f6cca3a228b1be46e9d5c9f8391ec5ef35aecebf6231ff2b2,210,benign,sell_base,840132762,3811951005224149454111,3812333456605429095369,-100,12
0xb016e71e1188bb036006c40d06d6c9095f5928f91d1cc8cc48d9555eb83cb831,211,benign,buy_base,161557211,3811952285959033547466,3812333456605429095369,100,12
0xff0ae22cadccf99b5ffb56a8b98df5c52c087e092c2abc59869d540b10dc2743,212,benign,sell_base,3048027382,3811928110857522596589,3812366143380976093394,-115,18
0xa99cd746841ff510bfff4dd815e4a4d87d481a6b225b44b4e011e05ecd40713f,213,benign,buy_base,7130450850,3811984637104613307818,3812366143380976093394,100,3
0x142738ca6e7e5eafe7d55c6971904e73da7f57b7e079e968c13ade3c4b75980e,214,benign,buy_base,1596658612,3811997294583162446324,3812366143380976093394,97,0
0x42ffcf0b41a23448aa418392ef74df4bf824172cd7df5e161d5b43fb833ebe99,215,benign,buy_base,67657461758,3812533783497511588441,3812366143380976093394,-44,141
0xb8831e0a206be74e21b3d0c4ca106171e89631e611a7a1c3263ff83252e2f701,216,benign,sell_base,1603318852,3812521059371593758568,3812366143380976093394,41,138
0xa46029124a79af4098639dafee75024d195f5e9657e2a6585f868b9cca07489b,217,benign,sell_base,1905303795,3812506287699032194315,3812373664424270743311,35,134
0x85a368aa9757bea615f5c61687a36f244f768b425baa6934a23f86cce873224e,218,benign,buy_base,215315764,3812507995945955681188,3812373240985443576935,-35,134
0x465b11fd571ffec221619ca5c308e4a6bd26a659d4fbfb14572d1450920b309b,219,benign,sell_base,6019339583,3812460216671036990797,3812401924690572971050,15,132
0x9c8188ec410246d6b3d1d5cd594d2013684693f853d804d3fa114470b7f69bbf,220,benign,buy_base,614607000,3812465092739428823728,3812401924690572971050,-17,133
0x9eaca0190d138eae10eab91d2dc9ef2e0d9b8cdef800885bdddd5a11d0676488,221,benign,sell_base,2400646082,3812446037376590478927,3812401924690572971050,12,128
0x108e0e5ac5b8fda85837ce69fad8e205e295f9903c2bab06fcb1daa6a27141b1,222,benign,buy_base,770227107,3812452148067441465479,3812403672319090727739,-13,130
0x1076ef1105ba4f3bbcf9932ec9296e06672c3d3b72badc6b6b3802c7e2a842ed,223,benign,sell_base,14942664076,3812333540186994861230,3812403672319090727739,-18,99
0x14f9d80dfeb32a5b4af9ecc765aee07dd3e02bee793f282841e14e4a47f21ffa,224,benign,buy_base,4120085441,3812366143380976093394,3812393635395918271496,7,41
0x32556d668d345d9f014a6128336e40fe72a159da5c208d2eba77d4c957762666,225,benign,buy_base,1038041016,3812374378721049286589,3812393635395918271496,5,38
0x05b48ed53eba41acec4468c00da3896910ebc93bb92a1d0a49c16b01e39b07b6,226,benign,buy_base,1000000000,3812381174532820962106,3812467289938009139327,23,33
0xd20d3c6c5ef99a9dda8aa5913260596476a77077cb312e95d1e7b35e17d06fd0,227,benign,buy_base,314042570,3812383666006126141865,3812467289938009139327,22,33
0x3ca8f9d9bf634a25a0e2d9206eb2e77a639310c756033a87771a84d08b671aad,228,benign,buy_base,567959119,3812388171941849633354,3812463660330935410553,20,31
0xc21e158c66e6c1316f905be3caa20928330258c5942872f0f1c357caa61f7f48,229,benign,sell_base,1089401286,3812379524794032995869,3812464857326493391421,-22,34
0x1fc85f7fbb7978862cf3b888257c54b26478fe92a5e503775e38661a93d05fff,230,benign,sell_base,296605132,3812377170485654333730,3812464857326493391421,-23,34
0x1c028433bd40978d2e9a65088256d6c83ec8436cdaf6c1a283f674c7320ceb77,231,benign,buy_base,3120188698,3812401924690572971050,3812504525622559600449,27,12
0x166f23254e58916419065b2d0e9f6df294625d97b0914240a2ba93f19c9a4596,232,benign,buy_base,220282627,3812403672319090727739,3812460073018685631611,15,18
0x0d6c8e80a595ede31629426fa8509255ed106328b9527515b8685fa40a1128cf,233,benign,sell_base,1007718396,3812395673514488086721,3812444158142483952195,-13,16
0xb8a72803626450f8752a91731cd320ba27be4bb16f59316d1bd64295e365c02b,234,benign,sell_base,39296502092,3812390792599923421504,3812445919564532876800,-14,15
0x47325f42948dd3014dc89aed59e0be1cf97b3cfeaab5f2f7801537f97e25b094,235,benign,buy_base,358325257,3812393635395918271496,3812445919564532876800,14,5
0x6505e75608ed8004b112f56f7512b9bcb03ee88aeaf7191ae88b2b673a2cee27,236,benign,buy_base,4119593717,3812426318528309136536,3812445919564532876800,5,14
0x4ff950112c5c28a743afa49d305b0f1d0b993d03182002476e4e03ca98b488f5,237,benign,buy_base,1411753265,3812437518820085352830,3812445919564532876800,2,17
